,candidateID,Office,District type,District name,GeoID,Party,First Name,Last Name,Incumbent (Y/N),Issue Stance,edited issue stance for site,Source URL,Issue Tag 1,state
0,SusanLontineStateHouse-District1.CO.primary.2016,State House - District 1,State House,1,1,Democrat,Susan,Lontine,Y,"And I will fight to defend a woman’s right to choose, including access to contraceptives and reproductive health care.","Supports a woman’s right to choose, including access to contraceptives and reproductive health care",http://susanlontineforhd1.com/priorities/,Abortion / Contraception,CO
1,SusanLontineStateHouse-District1.CO.primary.2016,State House - District 1,State House,1,1,Democrat,Susan,Lontine,Y,"investing in infrastructure, developing clean energy, and reducing economic disparities.","Supports investing in infrastructure, developing clean energy, and reducing economic disparities",http://susanlontineforhd1.com/priorities/,Economy,CO
2,SusanLontineStateHouse-District1.CO.primary.2016,State House - District 1,State House,1,1,Democrat,Susan,Lontine,Y,Supporting the growing Green Energy sector,Supports the growing of the Green Energy sector,http://susanlontineforhd1.com/priorities/,Environment / Energy,CO
3,SusanLontineStateHouse-District1.CO.primary.2016,State House - District 1,State House,1,1,Democrat,Susan,Lontine,Y,obtain a waiver of the ACA to create a state-wide collaborative health care system,Supports obtaining a waiver of the ACA to create a statewide collaborative health care system,http://susanlontineforhd1.com/priorities/,Healthcare,CO
4,SusanLontineStateHouse-District1.CO.primary.2016,State House - District 1,State House,1,1,Democrat,Susan,Lontine,Y,"I support comprehensive immigration reform that keeps families together and streamlines the path to permanent lawful residency, for long-term, law-abiding and tax-paying residents","Supports a comprehensive immigration reform that keeps families together and streamlines the path to permanent lawful residency, for long-term, law-abiding and taxpaying residents",http://susanlontineforhd1.com/priorities/,Immigration,CO
5,SusanLontineStateHouse-District1.CO.primary.2016,State House - District 1,State House,1,1,Democrat,Susan,Lontine,Y,I support equal pay for equal work,Supports equal pay for equal work,http://susanlontineforhd1.com/priorities/,Wages / Benefits,CO
6,SusanLontineStateHouse-District1.CO.primary.2016,State House - District 1,State House,1,1,Democrat,Susan,Lontine,Y,I support raising the minimum wage to a more sustainable level.,Supports raising the minimum wage to a more sustainable level,http://susanlontineforhd1.com/priorities/,Wages / Benefits,CO
7,SusanLontineStateHouse-District1.CO.primary.2016,State House - District 1,State House,1,1,Democrat,Susan,Lontine,Y,"I support the right of all workers to organize and bargain collectively for fair wages, and better, safer working conditions.","Supports the right of all workers to organize and bargain collectively for fair wages, and better, safer working conditions",http://susanlontineforhd1.com/priorities/,Wages / Benefits,CO
8,AngeliqueEspinozaStateHouse-District10.CO.primary.2016,State House - District 10,State House,10,1,Democrat,Angelique,Espinoza,N,We must find balanced solutions that better integrate emerging business models such as Uber and Airbnb into our economy.,Believes finding solutions that better integrate emerging business models such as Uber and Airbnb into economy,http://www.angeliqueespinoza.org/stand/,Economy,CO
9,AngeliqueEspinozaStateHouse-District10.CO.primary.2016,State House - District 10,State House,10,1,Democrat,Angelique,Espinoza,N,"New technology, from mobile apps that improve transportation options to apps that capture energy usage to improve efficiency but also that protect privacy, should be encouraged.","Supports encouraging new technology, from mobile apps that improve transportation options to apps that capture energy usage to improve efficiency but also supports protecting privacy",http://www.angeliqueespinoza.org/stand/,Economy,CO
10,AngeliqueEspinozaStateHouse-District10.CO.primary.2016,State House - District 10,State House,10,1,Democrat,Angelique,Espinoza,N,"The so-called Negative Factor, which has resulted in nearly $2B in cuts to K-12 education, must be eliminated.","Believes the so-called Negative Factor, which has resulted in nearly $2B in cuts to K-12 education, must be eliminated",http://www.angeliqueespinoza.org/stand/,Education,CO
11,EdieHootonStateHouse-District10.CO.primary.2016,State House - District 10,State House,10,1,Democrat,Edie,Hooton,N,I strongly believe that everyone deserves to have unequivocal control over their reproduction,Believes that everyone deserves to have unequivocal control over their reproduction,http://www.ediehooton.com/issues/,Abortion / Contraception,CO
12,EdieHootonStateHouse-District10.CO.primary.2016,State House - District 10,State House,10,1,Democrat,Edie,Hooton,N,help restore the teen pregnancy prevention programs they have cut.,Supports restoring the teen pregnancy prevention programs that were cut,http://www.ediehooton.com/issues/,Abortion / Contraception,CO
13,EdieHootonStateHouse-District10.CO.primary.2016,State House - District 10,State House,10,1,Democrat,Edie,Hooton,N,"must find creative ways to ensure that education is accessible and affordable for all, including Dreamers","Supports finding creative ways to ensure that education is accessible and affordable for all, including Dreamers",http://www.ediehooton.com/issues/,Education,CO
14,EdieHootonStateHouse-District10.CO.primary.2016,State House - District 10,State House,10,1,Democrat,Edie,Hooton,N,I support universal full-day pre-K,Supports universal full-day pre-K,http://www.ediehooton.com/issues/,Education,CO
15,EdieHootonStateHouse-District10.CO.primary.2016,State House - District 10,State House,10,1,Democrat,Edie,Hooton,N,"I fully support Ballot Initiative #75, “Local Governmental Control of Oil and Gas Development,","Supports Ballot Initiative #75, “Local Governmental Control of Oil and Gas Development""",http://www.ediehooton.com/issues/,Environment / Energy,CO
16,EdieHootonStateHouse-District10.CO.primary.2016,State House - District 10,State House,10,1,Democrat,Edie,Hooton,N,"support Ballot Initiative #78, “Mandatory Setbacks from Oil and Gas Development,” which establishes a buffer zone around homes, hospitals and schools, as well as sensitive areas like playgrounds and drinking water sources, from new oil and gas development.","Supports Ballot Initiative #78, “Mandatory Setbacks from Oil and Gas Development,” which establishes a buffer zone around homes, hospitals and schools, as well as sensitive areas like playgrounds and drinking water sources, from new oil and gas development",http://www.ediehooton.com/issues/,Environment / Energy,CO
17,EdieHootonStateHouse-District10.CO.primary.2016,State House - District 10,State House,10,1,Democrat,Edie,Hooton,N,I also support expanding the state’s inspection regime.,Supports expanding the state’s inspection regime for energy production,http://www.ediehooton.com/issues/,Environment / Energy,CO
18,EdieHootonStateHouse-District10.CO.primary.2016,State House - District 10,State House,10,1,Democrat,Edie,Hooton,N,I fully embrace the call for 100% renewable energy by 2030,Supports the call for 100% renewable energy by 2030,http://www.ediehooton.com/issues/,Environment / Energy,CO
